DocID,Year,Last,First,FilingDate,FilingType,pdf_url,pdf_found,purchase_hit_count,purchase_snippets
20034346,2026,Biggs,Sheri,4/16/2026,P,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034346.pdf,True,1,"SP iShares Bitcoin Trust ETF (IBIT) [ST]P 03/04/202604/09/2026$100,001 - | $250,000 | F S : New"
20034311,2026,McClellan,Jennifer,4/16/2026,P,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034311.pdf,True,0,
20034351,2026,Larsen,Rick,4/15/2026,P,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034351.pdf,True,0,
20034348,2026,Pfluger,August Lee,4/15/2026,P,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034348.pdf,True,0,
20034345,2026,Steube,Greg,4/14/2026,P,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034345.pdf,True,0,
20034327,2026,Kean,Thomas H.,4/13/2026,P,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034327.pdf,True,0,
20034307,2026,Keating,William R.,4/13/2026,P,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034307.pdf,True,0,
20034297,2026,Donalds,Byron,4/8/2026,P,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034297.pdf,True,0,
20034305,2026,Gottheimer,Josh,4/8/2026,P,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034305.pdf,True,1,"JT Fabrinet Ordinary Shares (FN) [ST] P 03/24/202604/07/2026$1,001 - $15,000 | F S : New | S O : Morgan Stanley - Select UMA Account # 1"
20034301,2026,Jackson,Jonathan,4/8/2026,P,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034301.pdf,True,2,"BP p.l.c. Common Stock (BP) [ST] P 03/20/202604/07/2026$1,001 - $15,000 | F S : New | S O : Morgan Stanley IRA || JT BP p.l.c. Common Stock (BP) [ST] P 03/19/202604/07/2026$15,001 - | $50,000 | F S : New"
9115728,2026,McCaul,Michael T.,4/8/2026,P,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/9115728.pdf,True,0,
20034285,2026,Cisneros,Gilbert,4/7/2026,P,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034285.pdf,True,5,"Coherent Corp. (COHR) [ST] P 03/25/202604/06/2026$1,001 - $15,000 | F S : New | S O : 150 Main Street Trust > Bank of America || Fabrinet Ordinary Shares (FN) [ST] P 03/27/202604/06/2026$15,001 - | $50,000 | F S : New || Gartner, Inc. Common Stock (IT) [ST]P 03/13/202604/06/2026$1,001 - $15,000 | F S : New | S O : 150 Main Street Trust > Bank of America || ITT Inc. Common Stock (ITT) [ST] P 03/03/202604/06/2026$1,001 - $15,000 | F S : New | S O : 150 Main Street Trust > Bank of America || Palo Alto Networks, Inc. (PANW) [ST]P 03/13/202604/06/2026$1,001 - $15,000 | F S : New | S O : 150 Main Street Trust > Bank of America"
20034295,2026,Fields,Cleo,4/7/2026,P,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034295.pdf,True,0,
20034302,2026,Kelly,Mike,4/7/2026,P,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034302.pdf,True,0,
9115726,2026,Khanna,Rohit,4/7/2026,P,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/9115726.pdf,True,0,
20033648,2026,McCormick,Richard Dean Dr,4/7/2026,P,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033648.pdf,True,3,"Home Depot, Inc. (HD) [ST] P 03/19/202604/07/2026$1,001 - $15,000 | F S : New | S O : Growth Partners IRA || Home Depot, Inc. (HD) [ST] P 03/19/202604/07/2026$1,001 - $15,000 | F S : New | S O : Growth Partners Roth IRA || US Treasury Bill [GS] P 12/12/202512/15/2025 $100,001 - | $250,000 | F S : New"
