docid,year,filing_date,member_name,state_dst,pdf_url,pdf_found
20034297,2026,4/8/2026,Hon. Byron Donalds,FL19,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034297.pdf,True
20034305,2026,4/8/2026,Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034305.pdf,True
20034301,2026,4/8/2026,Hon. Jonathan Jackson,IL01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034301.pdf,True
9115728,2026,4/8/2026,Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/9115728.pdf,True
20034285,2026,4/7/2026,Hon. Gilbert Cisneros,CA31,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034285.pdf,True
20034295,2026,4/7/2026,Cleo Fields,LA06,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034295.pdf,True
20034302,2026,4/7/2026,Hon. Mike Kelly,PA16,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034302.pdf,True
9115726,2026,4/7/2026,Hon. Rohit Khanna,CA17,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/9115726.pdf,True
20033648,2026,4/7/2026,Hon. Richard Dean Dr McCormick,GA06,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033648.pdf,True
20034221,2026,4/6/2026,Hon. Ed Case,HI01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034221.pdf,True
20034299,2026,4/6/2026,Hon. April McClain Delaney,MD06,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034299.pdf,True
20034292,2026,4/6/2026,Hon. Lloyd Doggett,TX37,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034292.pdf,True
20034298,2026,4/6/2026,Hon. Rudy C. Yakym III,IN02,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034298.pdf,True
20034262,2026,4/3/2026,Hon. Kevin Hern,OK01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034262.pdf,True
20034158,2026,4/3/2026,Hon. Daniel Meuser,PA09,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034158.pdf,True
20034213,2026,4/2/2026,Hon. Kelly Louise Morrison,MN03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034213.pdf,True
20034280,2026,4/2/2026,Hon. David J. Taylor,OH02,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034280.pdf,True
20034346,2026,4/16/2026,Hon. Sheri Biggs,SC03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034346.pdf,True
20034311,2026,4/16/2026,Hon. Jennifer McClellan,VA04,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034311.pdf,True
20034351,2026,4/15/2026,Hon. Rick Larsen,WA02,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034351.pdf,True
20034348,2026,4/15/2026,Hon. August Lee Pfluger II,TX11,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034348.pdf,True
20034345,2026,4/14/2026,Hon. Greg Steube,FL17,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034345.pdf,True
20034327,2026,4/13/2026,Hon. Thomas H. Kean Jr,NJ07,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034327.pdf,True
20034307,2026,4/13/2026,Hon. William R. Keating,MA09,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034307.pdf,True
20034201,2026,3/31/2026,Hon. Mark Alford,MO04,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034201.pdf,True
20034247,2026,3/30/2026,Hon. Max Miller,OH07,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034247.pdf,True
20034129,2026,3/30/2026,Hon. Jared Moskowitz,FL23,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034129.pdf,True
20034167,2026,3/26/2026,Hon. Steve Cohen,TN09,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034167.pdf,True
20034223,2026,3/25/2026,Hon. Warren Davidson,OH08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034223.pdf,True
20034217,2026,3/24/2026,Hon. Tim Moore,NC14,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034217.pdf,True
